Type,Tekst,Tekens
Kop 1,Verf op kleur gemengd,21
Kop 2,Voor 19:00 besteld,18
Kop 3,Gratis bezorgd vanaf €50,24
Kop 4,Topmerken: Sikkens & Histor,27
Kop 5,Advies van ex-schilders,23
Kop 6,Elke kleur exact gemengd,24
Kop 7,Gratis KLUSRPAS-voordeel,24
Kop 8,RAL, NCS & merkkleuren,22
Kop 9,Profverf voor de klusser,24
Kop 10,14 dagen gratis retour,22
Kop 11,Veilig betalen met iDEAL,24
Kop 12,Bestel je verf online,21
Kop 13,Zakelijk? 10% korting,21
Kop 14,Klaar terwijl je wacht,22
Kop 15,Dé klusspecialist online,24
Beschrijving 1,"Bestel verf, kwasten en gereedschap van topmerken. Voor 19:00 besteld, morgen in huis.",86
Beschrijving 2,"Elke kleur exact op maat gemengd: RAL, NCS en alle merkkleuren. Advies van ex-schilders.",87
Beschrijving 3,Gratis verzending vanaf €50 (NL/BE). 14 dagen retour. Veilig betalen via Mollie.,80
Beschrijving 4,Word gratis lid van de KLUSRPAS en krijg meteen de scherpste prijs op de hele collectie.,88
Pad 1,verf,4
Pad 2,op-kleur,8
Final URL,https://www.klusr.nl,
