Campaign,Campaign Daily Budget,Campaign Type,Networks,Bid Strategy Type,Ad Group,Max CPC,Keyword,Match Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Status
KLUSR | Search | Verf — Generiek,15.00,Search,Google search,Manual CPC,,,,,,,,,,,,,,,,,,,,,,Paused
KLUSR | Search | Verf — Generiek,,,,,Muurverf,0.60,,,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Muurverf,,muurverf,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Muurverf,,muurverf,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Muurverf,,muurverf kopen,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Muurverf,,muurverf kopen,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Muurverf,,muurverf online,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Muurverf,,muurverf online,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Muurverf,,muurverf bestellen,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Muurverf,,muurverf bestellen,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Muurverf,,witte muurverf,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Muurverf,,witte muurverf,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Muurverf,,muurverf op kleur,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Muurverf,,muurverf op kleur,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Muurverf,,,,Muurverf op Voorraad,Muurverf in Elke Kleur,Dekt Vaak in 1 Laag,Verf Kopen bij KLUSR,"Voor 19u, Morgen in Huis",Verf op Kleur Gemengd,Advies van Ex-Schilders,"Gratis Retour, 30 Dagen",Profiteer van KLUSRPAS,Scherpe Verfprijzen,"Bestel verf online bij KLUSR. Voor 19:00 besteld, morgen in huis. Op kleur gemengd.","Advies van ex-schilders, scherpe prijzen en gratis retour binnen 30 dagen.",Kies uit topmerken en duizenden kleuren. Wij mengen je verf exact op jouw kleur.,Profiteer van KLUSRPAS-voordeel en betaal veilig achteraf. Bestel vandaag bij KLUSR.,Verf,Muurverf,https://www.klusr.nl/categorie/verf/binnenmuurverf,Enabled
KLUSR | Search | Verf — Generiek,,,,,Binnenmuurverf,0.60,,,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Binnenmuurverf,,binnenmuurverf,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Binnenmuurverf,,binnenmuurverf,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Binnenmuurverf,,binnenmuurverf kopen,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Binnenmuurverf,,binnenmuurverf kopen,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Binnenmuurverf,,muurverf binnen,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Binnenmuurverf,,muurverf binnen,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Binnenmuurverf,,latex binnen,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Binnenmuurverf,,latex binnen,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Binnenmuurverf,,,,Binnenmuurverf Online,Muurverf voor Binnen,Mat of Zijdeglans,Verf Kopen bij KLUSR,"Voor 19u, Morgen in Huis",Verf op Kleur Gemengd,Advies van Ex-Schilders,"Gratis Retour, 30 Dagen",Profiteer van KLUSRPAS,Scherpe Verfprijzen,"Bestel verf online bij KLUSR. Voor 19:00 besteld, morgen in huis. Op kleur gemengd.","Advies van ex-schilders, scherpe prijzen en gratis retour binnen 30 dagen.",Kies uit topmerken en duizenden kleuren. Wij mengen je verf exact op jouw kleur.,Profiteer van KLUSRPAS-voordeel en betaal veilig achteraf. Bestel vandaag bij KLUSR.,Verf,Binnenmuurverf,https://www.klusr.nl/categorie/verf/binnenmuurverf,Enabled
KLUSR | Search | Verf — Generiek,,,,,Buitenmuurverf,0.60,,,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Verf — Generiek,,,,,Buitenmuurverf,,buitenmuurverf,Phrase,,,,,,,,,,,,,,,,,,Enabled
