sku,ean,normale_prijs,advies_prijs
37905764,5410091699062,4.35,10.19
37905823,5410091697440,3.75,7.69
39037791,8716242653516,10.95,29.95
39037795,7311490022926,40.45,41.39
39037796,7311490004182,7.65,7.72
39037798,7311490004175,7.20,7.18
39037799,8716242726883,17.60,43.50
39037800,7311490004120,5.85,5.75
39037803,7311490029147,28.05,28.99
39037805,7311490022933,44.05,45.89
39037806,7311490022964,19.30,18.63
39037807,7311490022957,23.95,23.39
39037809,7311490004342,18.25,20.19
39038308,5011867025933,16.50,21.99
39038310,8710839297893,16.50,21.99
39038311,5400282073535,7.65,7.87
39038312,5400282003778,3.85,4.79
39038313,5011867025377,16.50,21.99
39038314,5400997265256,8.95,9.19
39038315,8713274027254,20.90,31.75
39038316,8712576302632,15.40,16.52
39038321,8716242726586,17.60,43.50
39038322,8711418602848,6.50,6.29
39038324,5400282073528,6.55,7.06
39038325,5400282003631,3.10,3.69
39038327,5400282003785,2.90,2.99
39038328,5400282081059,1.20,1.09
39038331,7311490028874,11.60,11.49
39038333,7311490013269,4.85,5.09
39038334,7311490026900,34.30,33.09
39038335,5400997152822,2.15,3.49
39038336,5011867018485,10.55,16.49
39038338,8711418600257,1.10,1.29
39038340,8711595035330,5.45,8.45
39038342,5400997289351,2.70,4.99
39038344,5400282112715,7.45,8.59
39038345,5400282003129,5.00,6.09
39038346,5400282005024,6.15,8.09
39038347,5400997265249,7.65,7.79
39038348,7311490012866,18.65,18.89
39038349,8712576107503,12.65,12.92
39038350,8711143146488,2.50,3.39
39038351,5400282081066,1.30,1.29
39038352,5400282081073,1.40,1.39
39038353,5400282112753,10.95,15.40
39038356,7311490002621,6.50,6.49
39038360,7311490012316,6.40,6.39
39038362,7311490012903,26.95,27.19
39038363,7311490012880,20.95,21.39
39038364,7311490013276,4.35,4.39
39038365,7311490011906,7.25,7.29
39038366,7311490012873,19.80,20.19
39038367,5400997276894,2.50,5.59
39038368,8711418600042,0.60,0.69
39038369,8711115237862,31.95,71.99
39038370,8711115255323,21.95,50.49
39038371,5011867012407,10.55,16.49
39038372,8711115254463,57.95,131.99
39038386,8711113105033,13.20,31.99
39038388,8711115299167,143.56,
39038390,8710839108304,4.75,5.60
39038391,8711115334196,60.29,102.99
39038392,5400282112746,9.60,13.47
39038396,8710839144593,64.45,64.10
39038397,8710839144562,49.55,52.95
39038398,8711115299143,60.29,
39038399,8710839143152,41.85,50.55
39038400,8711115255293,39.95,92.49
39038401,5011867025360,16.50,21.99
39038402,8711115334202,143.56,247.49
39038405,7439604037090,8.75,14.95
39038406,8710839108403,4.75,5.60
